,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001,13.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,4.0,64.0,65.0,4.0,61.0,13.0,10.0,8.0,2.0,4.0,118.0,0.0,19.0,1.0,9.0,0.0,0.0,323.0
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002,17.0,3.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,7.0,49.0,49.0,2.0,47.0,11.0,4.0,11.0,0.0,2.0,97.0,0.0,17.0,3.0,4.0,0.0,0.0,328.0
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,21.0,4.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,7.0,56.0,60.0,3.0,57.0,19.0,3.0,13.0,0.0,8.0,110.0,0.0,9.0,2.0,7.0,0.0,0.0,318.0
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,15.0,1.0,2.0,10.0,0.0,10.0,3.0,3.0,0.0,0.0,0.0,3.0,69.0,103.0,9.0,94.0,9.0,0.0,12.0,0.0,9.0,105.0,0.0,6.0,3.0,5.0,0.0,6.0,387.0
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,14.0,3.0,3.0,4.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,4.0,68.0,92.0,6.0,86.0,4.0,8.0,13.0,0.0,6.0,79.0,0.0,11.0,1.0,5.0,0.0,3.0,362.0
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,4.0,4.0,1.0,6.0,0.0,6.0,5.0,5.0,0.0,0.0,0.0,5.0,82.0,101.0,6.0,95.0,10.0,3.0,15.0,4.0,9.0,78.0,0.0,14.0,4.0,7.0,0.0,2.0,322.0
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,15.0,19.0,1.0,3.0,0.0,3.0,12.0,9.0,3.0,5.0,0.0,9.0,90.0,112.0,8.0,104.0,17.0,7.0,23.0,1.0,11.0,99.0,1.0,21.0,2.0,18.0,0.0,4.0,337.0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,8.0,11.0,2.0,12.0,0.0,12.0,17.0,13.0,4.0,0.0,0.0,14.0,78.0,128.0,11.0,117.0,16.0,12.0,19.0,1.0,15.0,107.0,2.0,24.0,3.0,26.0,0.0,4.0,383.0
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,15.0,4.0,4.0,18.0,0.0,18.0,16.0,14.0,2.0,0.0,0.0,11.0,86.0,134.0,10.0,124.0,11.0,7.0,20.0,2.0,12.0,89.0,1.0,30.0,7.0,21.0,0.0,2.0,451.0
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,9.0,7.0,4.0,24.0,0.0,24.0,10.0,8.0,2.0,1.0,0.0,7.0,80.0,121.0,22.0,99.0,11.0,10.0,56.0,0.0,12.0,80.0,0.0,31.0,10.0,9.0,0.0,9.0,489.0
